internalId,referenceEan,retailer,brand
1372255,1372255,"Heinemann (DE)",Lindt
1372254,1372254,"Heinemann (DE)",Lindt
1618746,1618746,"Heinemann (DE)",Lindt
1372253,1372253,"Heinemann (DE)",Lindt
1618325,1618325,"Heinemann (DE)",Lindt
737753,737753,"Heinemann (DE)",Lindt
791288,791288,"Heinemann (DE)",Lindt
680699,680699,"Heinemann (DE)",Lindt
1435669,1435669,"Heinemann (DE)",Lindt
1372249,1372249,"Heinemann (DE)",Lindt
1618404,1618404,"Heinemann (DE)",Lindt
107265,1372253,"Aelia (CZ)",Lindt
1505075,1505075,"Heinemann (DE)",Lindt
78702,78702,"Heinemann (DE)",Lindt
94139,94139,"Heinemann (DE)",Lindt
1505074,1505074,"Heinemann (DE)",Lindt
163780,163778,"Heinemann (DE)",Lindt
163778,163770,"Heinemann (DE)",Lindt
91799,163778,"Aelia (CZ)",Lindt
123165,1372249,"Aelia (CZ)",Lindt
123166,1372248,"Aelia (CZ)",Lindt
158970,1514084,"Aelia (CZ)",Lindt
169874,1372254,"Aelia (CZ)",Lindt
169875,1372255,"Aelia (CZ)",Lindt
90505,163796,"Aelia (CZ)",Lindt
158971,1505074,"Aelia (CZ)",Lindt
158972,1505075,"Aelia (CZ)",Lindt
1564519,1564519,"Heinemann (DE)",Lindt
1564351,1564351,"Heinemann (DE)",Lindt
1564375,1564375,"Heinemann (DE)",Lindt
163797,163796,"Heinemann (DE)",Lindt
163796,163796,"Heinemann (DE)",Lindt
163770,163770,"Heinemann (DE)",Lindt
1372248,1372248,"Heinemann (DE)",Lindt
1372244,1372244,"Heinemann (DE)",Lindt
1618324,1618324,"Heinemann (DE)",Lindt
1618660,1618660,"Heinemann (DE)",Lindt
1618601,1618601,"Heinemann (DE)",Lindt
1618650,1618650,"Heinemann (DE)",Lindt
1514084,1514084,"Heinemann (DE)",Lindt
1596862,1596862,"Heinemann (DE)",Lindt
